user_input,reference_contexts,reference,persona_name,query_style,query_length,synthesizer_name
"Design check: A required exit door is specified at 850 mm clear opening width and 2,050 mm height. Does it meet the minimum required exit doorway size? Provide the minimum and verdict.","['Every required exit doorway shall be of a size as to permit the installation of \na door not less than 900 millimeters in width and not less than 2.00 meters in height. When \ninstalled in exit doorways, exit doors shall be capable of opening at least 90 degrees and shall \nbe so mounted that the clear width of the exitway is not less than 700 millimeters. In \ncomputing the required exit width the net dimension of the exitway shall be used. \nd. Door Leaf Width. No leaf of an exit door shall exceed 1.20 meters in width.']","Required exit door size: width ≥ 900 mm and height ≥ 2,000 mm. Provided width = 850 mm → FAIL (delta 50 mm from 900 mm).",Construction Compliance Officer,PERFECT_GRAMMAR,MEDIUM,single_hop_specific_query_synthesizer
"Design check: With the exit door opened 90°, the measured clear width of the exitway is 650 mm. Is this compliant? State the minimum clear width and verdict.","['Every required exit doorway shall be of a size as to permit the installation of \na door not less than 900 millimeters in width and not less than 2.00 meters in height. When \ninstalled in exit doorways, exit doors shall be capable of opening at least 90 degrees and shall \nbe so mounted that the clear width of the exitway is not less than 700 millimeters. In \ncomputing the required exit width the net dimension of the exitway shall be used. \nd. Door Leaf Width. No leaf of an exit door shall exceed 1.20 meters in width.']","When mounted and opened, clear exitway width must be ≥ 700 mm. Provided clear width = 650 mm → FAIL (delta 50 mm).",Construction Compliance Officer,PERFECT_GRAMMAR,MEDIUM,single_hop_specific_query_synthesizer
A double-leaf required exit door has one leaf width of 1150 mm. Is it allowed? Give the maximum allowed leaf width and verdict.,"['Every required exit doorway shall be of a size as to permit the installation of \na door not less than 900 millimeters in width and not less than 2.00 meters in height. When \ninstalled in exit doorways, exit doors shall be capable of opening at least 90 degrees and shall \nbe so mounted that the clear width of the exitway is not less than 700 millimeters. In \ncomputing the required exit width the net dimension of the exitway shall be used. \nd. Door Leaf Width. No leaf of an exit door shall exceed 1.20 meters in width.']","No leaf of an exit door shall exceed 1.20 m (1,200 mm). Leaf width = 1150 mm → PASS (delta 50 mm).",Construction Compliance Officer,WEB_SEARCH_LIKE,SHORT,single_hop_specific_query_synthesizer
An exit door landing is 80 mm lower than the doorway threshold. Does it comply with the general rule? Provide the limit and verdict.,"['Change in Floor Level at Doors. Regardless of the occupant load, there shall be a floor or \nlanding on each side of an exit door. The floor or landing shall be leveled with, or not more \nthan 50 millimeters lower than the threshold of the doorway: Except, that in Group A and B \nOccupancies, a door may open on the top step of a flight of stairs or an exterior landing \nprovided the door does not swing over the top step or exterior landing and the landing is not \nmore than 200 millimeters below the floor level.']",Landing at exit door must be level with threshold or ≤ 50 mm lower (general rule). Landing is 80 mm lower → FAIL.,Construction Compliance Officer,PERFECT_GRAMMAR,MEDIUM,single_hop_specific_query_synthesizer
Group A occupancy: an exit door opens onto an exterior landing that is 150 mm below the floor level. The door does not swing over the landing edge/top step. Is this allowed? Provide the applicable limit and verdict.,"['Change in Floor Level at Doors. Regardless of the occupant load, there shall be a floor or \nlanding on each side of an exit door. The floor or landing shall be leveled with, or not more \nthan 50 millimeters lower than the threshold of the doorway: Except, that in Group A and B \nOccupancies, a door may open on the top step of a flight of stairs or an exterior landing \nprovided the door does not swing over the top step or exterior landing and the landing is not \nmore than 200 millimeters below the floor level.']",Exception (Group A/B): landing may be up to 200 mm below floor level if door does not swing over top step/landing. Landing is 150 mm below and door does not swing over → PASS.,Construction Compliance Officer,PERFECT_GRAMMAR,LONG,single_hop_specific_query_synthesizer
Design check: A required exit corridor is specified at 1000 mm clear width. Is this compliant? Give minimum required width and verdict.,['4. Corridors and Exterior Exit Balconies.\na. Width. Every corridor or exit balcony shall not be less than 1.10 meters in width.\nb. Projections. ... doors when fully opened shall not reduce the required width by more than 200 millimeters. Doors in any position shall not reduce the required width of the corridor by more than one-half (1/2).\nd. Dead Ends. Corridors ... with dead ends are permitted when the dead end does not exceed 6.00 meters in length.'],"Required corridor width ≥ 1.10 m (1,100 mm). Provided = 1000 mm → FAIL (delta 100 mm).",Construction Compliance Officer,PERFECT_GRAMMAR,MEDIUM,single_hop_specific_query_synthesizer
"A door opens into a required corridor. When fully open, it reduces the clear corridor width by 210 mm. Is this acceptable? Provide the max allowed reduction and verdict.",['4. Corridors and Exterior Exit Balconies.\na. Width. Every corridor or exit balcony shall not be less than 1.10 meters in width.\nb. Projections. ... doors when fully opened shall not reduce the required width by more than 200 millimeters. Doors in any position shall not reduce the required width of the corridor by more than one-half (1/2).\nd. Dead Ends. Corridors ... with dead ends are permitted when the dead end does not exceed 6.00 meters in length.'],Doors when fully opened shall not reduce required corridor width by more than 200 mm. Reduction = 210 mm → FAIL.,Construction Compliance Officer,PERFECT_GRAMMAR,MEDIUM,single_hop_specific_query_synthesizer
Design check: A dead-end corridor segment measures 6.2 m from the last junction to the end wall. Is it permitted? Provide the maximum and verdict.,['4. Corridors and Exterior Exit Balconies.\na. Width. Every corridor or exit balcony shall not be less than 1.10 meters in width.\nb. Projections. ... doors when fully opened shall not reduce the required width by more than 200 millimeters. Doors in any position shall not reduce the required width of the corridor by more than one-half (1/2).\nd. Dead Ends. Corridors ... with dead ends are permitted when the dead end does not exceed 6.00 meters in length.'],Dead-end corridor length must be ≤ 6.00 m. Dead end = 6.2 m → FAIL.,Construction Compliance Officer,PERFECT_GRAMMAR,SHORT,single_hop_specific_query_synthesizer
A stairway serves an occupant load of 60. The proposed clear stair width is 1050 mm. Is it compliant? State the required minimum width and verdict.,['5. Stairways.\na. Width. Stairways serving an occupant load of more than fifty (50) shall not be less than 1.10 meters. Stairways serving an occupant load of fifty (50) or less may be 900 millimeters wide. Private stairways serving an occupant load of less than ten (10) may be 750 millimeters. Trim and handrails shall not reduce the required width by more than 100 millimeters.\nb. Rise and Run. The rise of every step in a stairway shall not exceed 200 millimeters and the run shall not be less than 250 millimeters.\ne. Landings. Every landing shall have a dimension measured in the direction of travel equal to the width of the stairway. Such dimension need not exceed 1.20 meters when the stairs has a straight run. Landings when provided shall not be reduced in width by more than 100 millimeters by a door when fully open.\ng. Distance Between Landings. There shall be not more than 3.60 meters vertical distance between landings.'],Stairways serving an occupant load > 50 require width ≥ 1100 mm. Provided stair width = 1050 mm → FAIL.,Construction Compliance Officer,PERFECT_GRAMMAR,MEDIUM,single_hop_specific_query_synthesizer
Stair design check: a flight has risers of 210 mm and treads (run) of 260 mm. Does it meet the rise/run limits? Provide the limits and verdict.,['5. Stairways.\na. Width. Stairways serving an occupant load of more than fifty (50) shall not be less than 1.10 meters. Stairways serving an occupant load of fifty (50) or less may be 900 millimeters wide. Private stairways serving an occupant load of less than ten (10) may be 750 millimeters. Trim and handrails shall not reduce the required width by more than 100 millimeters.\nb. Rise and Run. The rise of every step in a stairway shall not exceed 200 millimeters and the run shall not be less than 250 millimeters.\ne. Landings. Every landing shall have a dimension measured in the direction of travel equal to the width of the stairway. Such dimension need not exceed 1.20 meters when the stairs has a straight run. Landings when provided shall not be reduced in width by more than 100 millimeters by a door when fully open.\ng. Distance Between Landings. There shall be not more than 3.60 meters vertical distance between landings.'],"Stair rise ≤ 200 mm and run ≥ 250 mm. Provided rise=210 mm, run=260 mm → FAIL (rise 210 mm > 200 mm).",Construction Compliance Officer,WEB_SEARCH_LIKE,MEDIUM,single_hop_specific_query_synthesizer
